DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;PercentTransmittance
DECIMALSYMBOL	 .
400.2229	 44.0417
400.6888	 45.1974
401.1547	 46.3490
401.6207	 47.4452
402.0866	 48.4482
402.5525	 49.3323
403.0184	 50.0816
403.4843	 50.6881
403.9502	 51.1496
404.4162	 51.4676
404.8821	 51.6470
405.3480	 51.6944
405.8139	 51.6182
406.2798	 51.4278
406.7457	 51.1339
407.2117	 50.7482
407.6776	 50.2839
408.1435	 49.7552
408.6094	 49.1780
409.0753	 48.5695
409.5412	 47.9481
410.0072	 47.3334
410.4731	 46.7456
410.9390	 46.2048
411.4049	 45.7301
411.8708	 45.3387
412.3367	 45.0448
412.8027	 44.8586
413.2686	 44.7850
413.7345	 44.8236
414.2004	 44.9685
414.6663	 45.2080
415.1323	 45.5259
415.5982	 45.9026
416.0641	 46.3160
416.5300	 46.7431
416.9959	 47.1616
417.4618	 47.5506
417.9278	 47.8919
418.3937	 48.1704
418.8596	 48.3745
419.3255	 48.4966
419.7914	 48.5326
420.2573	 48.4822
420.7233	 48.3482
421.1892	 48.1368
421.6551	 47.8564
422.1210	 47.5179
422.5869	 47.1339
423.0528	 46.7182
423.5188	 46.2854
423.9847	 45.8502
424.4506	 45.4267
424.9165	 45.0282
425.3824	 44.6664
425.8483	 44.3512
426.3143	 44.0901
426.7802	 43.8881
427.2461	 43.7476
427.7120	 43.6687
428.1779	 43.6488
428.6439	 43.6835
429.1098	 43.7665
429.5757	 43.8903
430.0416	 44.0463
430.5075	 44.2254
430.9734	 44.4184
431.4394	 44.6162
431.9053	 44.8101
432.3712	 44.9922
432.8371	 45.1552
433.3030	 45.2931
433.7689	 45.4008
434.2349	 45.4745
434.7008	 45.5116
435.1667	 45.5108
435.6326	 45.4721
436.0985	 45.3967
436.5644	 45.2870
437.0304	 45.1468
437.4963	 44.9807
437.9622	 44.7945
438.4281	 44.5946
438.8940	 44.3880
439.3599	 44.1819
439.8259	 43.9838
440.2918	 43.8007
440.7577	 43.6391
441.2236	 43.5045
441.6895	 43.4015
442.1555	 43.3332
442.6214	 43.3015
443.0873	 43.3064
443.5532	 43.3469
444.0191	 43.4203
444.4850	 43.5230
444.9510	 43.6501
445.4169	 43.7964
445.8828	 43.9558
446.3487	 44.1223
446.8146	 44.2899
447.2805	 44.4527
447.7465	 44.6055
448.2124	 44.7435
448.6783	 44.8627
449.1442	 44.9600
449.6101	 45.0331
450.0760	 45.0806
450.5420	 45.1023
451.0079	 45.0987
451.4738	 45.0714
451.9397	 45.0229
452.4056	 44.9563
452.8715	 44.8758
453.3375	 44.7860
453.8034	 44.6919
454.2693	 44.5990
454.7352	 44.5126
455.2011	 44.4383
455.6671	 44.3808
456.1330	 44.3446
456.5989	 44.3333
457.0648	 44.3496
457.5307	 44.3949
457.9966	 44.4698
458.4626	 44.5734
458.9285	 44.7041
459.3944	 44.8588
459.8603	 45.0341
460.3262	 45.2255
460.7921	 45.4284
461.2581	 45.6378
461.7240	 45.8487
462.1899	 46.0563
462.6558	 46.2562
463.1217	 46.4444
463.5876	 46.6177
464.0536	 46.7733
464.5195	 46.9095
464.9854	 47.0250
465.4513	 47.1198
465.9172	 47.1942
466.3831	 47.2496
466.8491	 47.2881
467.3150	 47.3121
467.7809	 47.3250
468.2468	 47.3305
468.7127	 47.3325
469.1787	 47.3352
469.6446	 47.3428
470.1105	 47.3595
470.5764	 47.3889
471.0423	 47.4345
471.5082	 47.4989
471.9742	 47.5842
472.4401	 47.6917
472.9060	 47.8218
473.3719	 47.9739
473.8378	 48.1469
474.3037	 48.3387
474.7697	 48.5467
475.2356	 48.7677
475.7015	 48.9984
476.1674	 49.2349
476.6333	 49.4736
477.0992	 49.7109
477.5652	 49.9435
478.0311	 50.1682
478.4970	 50.3826
478.9629	 50.5845
479.4288	 50.7725
479.8947	 50.9456
480.3607	 51.1035
480.8266	 51.2464
481.2925	 51.3751
481.7584	 51.4908
482.2243	 51.5952
482.6902	 51.6904
483.1562	 51.7788
483.6221	 51.8627
484.0880	 51.9450
484.5539	 52.0281
485.0198	 52.1145
485.4858	 52.2065
485.9517	 52.3061
486.4176	 52.4147
486.8835	 52.5334
487.3494	 52.6629
487.8153	 52.8031
488.2813	 52.9536
488.7472	 53.1133
489.2131	 53.2808
489.6790	 53.4542
490.1449	 53.6314
490.6108	 53.8099
491.0768	 53.9872
491.5427	 54.1607
492.0086	 54.3280
492.4745	 54.4867
492.9404	 54.6346
493.4063	 54.7700
493.8723	 54.8913
494.3382	 54.9975
494.8041	 55.0879
495.2700	 55.1622
495.7359	 55.2207
496.2018	 55.2640
496.6678	 55.2931
497.1337	 55.3095
497.5996	 55.3149
498.0655	 55.3113
498.5314	 55.3010
498.9974	 55.2863
499.4633	 55.2695
499.9292	 55.2531
500.3951	 55.2393
500.8610	 55.2300
501.3269	 55.2271
501.7929	 55.2318
502.2588	 55.2451
502.7247	 55.2675
503.1906	 55.2990
503.6565	 55.3391
504.1224	 55.3870
504.5884	 55.4413
505.0543	 55.5006
505.5202	 55.5629
505.9861	 55.6263
506.4520	 55.6886
506.9179	 55.7476
507.3839	 55.8015
507.8498	 55.8483
508.3157	 55.8863
508.7816	 55.9142
509.2475	 55.9310
509.7134	 55.9358
510.1794	 55.9284
510.6453	 55.9088
511.1112	 55.8774
511.5771	 55.8351
512.0430	 55.7830
512.5090	 55.7225
512.9749	 55.6552
513.4408	 55.5832
513.9067	 55.5085
514.3726	 55.4332
514.8385	 55.3595
515.3045	 55.2894
515.7704	 55.2248
516.2363	 55.1674
516.7022	 55.1186
517.1681	 55.0794
517.6340	 55.0505
518.1000	 55.0321
518.5659	 55.0239
519.0318	 55.0255
519.4977	 55.0357
519.9636	 55.0534
520.4295	 55.0768
520.8955	 55.1042
521.3614	 55.1337
521.8273	 55.1634
522.2932	 55.1913
522.7591	 55.2157
523.2250	 55.2349
523.6910	 55.2477
524.1569	 55.2530
524.6228	 55.2501
525.0887	 55.2385
525.5546	 55.2184
526.0206	 55.1900
526.4865	 55.1540
526.9524	 55.1114
527.4183	 55.0635
527.8842	 55.0118
528.3501	 54.9578
528.8161	 54.9034
529.2820	 54.8503
529.7479	 54.8002
530.2138	 54.7549
530.6797	 54.7156
531.1456	 54.6838
531.6116	 54.6603
532.0775	 54.6457
532.5434	 54.6405
533.0093	 54.6445
533.4752	 54.6572
533.9411	 54.6780
534.4071	 54.7057
534.8730	 54.7391
535.3389	 54.7766
535.8048	 54.8163
536.2707	 54.8566
536.7366	 54.8956
537.2026	 54.9314
537.6685	 54.9623
538.1344	 54.9867
538.6003	 55.0032
539.0662	 55.0107
539.5322	 55.0083
539.9981	 54.9955
540.4640	 54.9720
540.9299	 54.9378
541.3958	 54.8936
541.8617	 54.8399
542.3277	 54.7777
542.7936	 54.7084
543.2595	 54.6334
543.7254	 54.5544
544.1913	 54.4731
544.6572	 54.3914
545.1232	 54.3109
545.5891	 54.2334
546.0550	 54.1605
546.5209	 54.0934
546.9868	 54.0332
547.4527	 53.9808
547.9187	 53.9365
548.3846	 53.9007
548.8505	 53.8730
549.3164	 53.8532
549.7823	 53.8404
550.2482	 53.8337
550.7142	 53.8320
551.1801	 53.8340
551.6460	 53.8385
552.1119	 53.8442
552.5778	 53.8497
553.0438	 53.8540
553.5097	 53.8561
553.9756	 53.8550
554.4415	 53.8504
554.9074	 53.8417
555.3733	 53.8289
555.8393	 53.8120
556.3052	 53.7914
556.7711	 53.7677
557.2370	 53.7416
557.7029	 53.7139
558.1688	 53.6857
558.6348	 53.6580
559.1007	 53.6318
559.5666	 53.6082
560.0325	 53.5880
560.4984	 53.5720
560.9643	 53.5608
561.4303	 53.5547
561.8962	 53.5540
562.3621	 53.5583
562.8280	 53.5674
563.2939	 53.5804
563.7598	 53.5966
564.2258	 53.6146
564.6917	 53.6334
565.1576	 53.6513
565.6235	 53.6669
566.0894	 53.6786
566.5554	 53.6849
567.0213	 53.6845
567.4872	 53.6760
567.9531	 53.6584
568.4190	 53.6309
568.8849	 53.5929
569.3509	 53.5443
569.8168	 53.4849
570.2827	 53.4154
570.7486	 53.3363
571.2145	 53.2488
571.6804	 53.1541
572.1464	 53.0539
572.6123	 52.9500
573.0782	 52.8444
573.5441	 52.7392
574.0100	 52.6366
574.4759	 52.5387
574.9419	 52.4476
575.4078	 52.3653
575.8737	 52.2936
576.3396	 52.2339
576.8055	 52.1876
577.2714	 52.1555
577.7374	 52.1383
578.2033	 52.1362
578.6692	 52.1493
579.1351	 52.1770
579.6010	 52.2188
580.0670	 52.2737
580.5329	 52.3408
580.9988	 52.4188
581.4647	 52.5064
581.9306	 52.6022
582.3965	 52.7051
582.8625	 52.8137
583.3284	 52.9269
583.7943	 53.0438
584.2602	 53.1636
584.7261	 53.2856
585.1920	 53.4093
585.6580	 53.5347
586.1239	 53.6616
586.5898	 53.7901
587.0557	 53.9205
587.5216	 54.0533
587.9875	 54.1889
588.4535	 54.3278
588.9194	 54.4706
589.3853	 54.6179
589.8512	 54.7700
590.3171	 54.9274
590.7830	 55.0903
591.2490	 55.2588
591.7149	 55.4328
592.1808	 55.6119
592.6467	 55.7958
593.1126	 55.9838
593.5786	 56.1750
594.0445	 56.3686
594.5104	 56.5633
594.9763	 56.7582
595.4422	 56.9518
595.9081	 57.1431
596.3741	 57.3307
596.8400	 57.5135
597.3059	 57.6905
597.7718	 57.8607
598.2377	 58.0232
598.7036	 58.1775
599.1696	 58.3230
599.6355	 58.4596
600.1014	 58.5871
600.5673	 58.7055
601.0332	 58.8153
601.4991	 58.9167
601.9651	 59.0105
602.4310	 59.0972
602.8969	 59.1778
603.3628	 59.2530
603.8287	 59.3238
604.2946	 59.3911
604.7606	 59.4558
605.2265	 59.5187
605.6924	 59.5807
606.1583	 59.6425
606.6242	 59.7045
607.0902	 59.7672
607.5561	 59.8310
608.0220	 59.8961
608.4879	 59.9623
608.9538	 60.0297
609.4197	 60.0981
609.8857	 60.1670
610.3516	 60.2363
610.8175	 60.3053
611.2834	 60.3736
611.7493	 60.4408
612.2152	 60.5063
612.6812	 60.5698
613.1471	 60.6310
613.6130	 60.6894
614.0789	 60.7451
614.5448	 60.7979
615.0107	 60.8478
615.4767	 60.8950
615.9426	 60.9398
616.4085	 60.9826
616.8744	 61.0239
617.3403	 61.0641
617.8062	 61.1039
618.2722	 61.1440
618.7381	 61.1849
619.2040	 61.2273
619.6699	 61.2718
620.1358	 61.3188
620.6017	 61.3689
621.0677	 61.4224
621.5336	 61.4794
621.9995	 61.5400
622.4654	 61.6042
622.9313	 61.6719
623.3973	 61.7426
623.8632	 61.8159
624.3291	 61.8913
624.7950	 61.9681
625.2609	 62.0457
625.7268	 62.1234
626.1928	 62.2003
626.6587	 62.2758
627.1246	 62.3492
627.5905	 62.4197
628.0564	 62.4869
628.5223	 62.5503
628.9883	 62.6095
629.4542	 62.6642
629.9201	 62.7144
630.3860	 62.7601
630.8519	 62.8014
631.3178	 62.8385
631.7838	 62.8719
632.2497	 62.9021
632.7156	 62.9295
633.1815	 62.9549
633.6474	 62.9787
634.1133	 63.0019
634.5793	 63.0248
635.0452	 63.0483
635.5111	 63.0730
635.9770	 63.0992
636.4429	 63.1274
636.9089	 63.1580
637.3748	 63.1912
637.8407	 63.2270
638.3066	 63.2654
638.7725	 63.3063
639.2384	 63.3493
639.7044	 63.3943
640.1703	 63.4406
640.6362	 63.4878
641.1021	 63.5354
641.5680	 63.5827
642.0339	 63.6292
642.4999	 63.6743
642.9658	 63.7173
643.4317	 63.7578
643.8976	 63.7954
644.3635	 63.8297
644.8294	 63.8604
645.2954	 63.8873
645.7613	 63.9103
646.2272	 63.9294
646.6931	 63.9448
647.1590	 63.9565
647.6249	 63.9650
648.0909	 63.9704
648.5568	 63.9733
649.0227	 63.9739
649.4886	 63.9728
649.9545	 63.9702
650.4205	 63.9667
650.8864	 63.9626
651.3523	 63.9582
651.8182	 63.9537
652.2841	 63.9494
652.7500	 63.9453
653.2160	 63.9414
653.6819	 63.9379
654.1478	 63.9345
654.6137	 63.9311
655.0796	 63.9276
655.5455	 63.9238
656.0115	 63.9194
656.4774	 63.9142
656.9433	 63.9081
657.4092	 63.9009
657.8751	 63.8925
658.3410	 63.8828
658.8070	 63.8718
659.2729	 63.8597
659.7388	 63.8465
660.2047	 63.8326
660.6706	 63.8184
661.1365	 63.8043
661.6025	 63.7908
662.0684	 63.7785
662.5343	 63.7682
663.0002	 63.7606
663.4661	 63.7565
663.9321	 63.7566
664.3980	 63.7616
664.8639	 63.7723
665.3298	 63.7893
665.7957	 63.8132
666.2616	 63.8441
666.7276	 63.8825
667.1935	 63.9283
667.6594	 63.9814
668.1253	 64.0414
668.5912	 64.1080
669.0571	 64.1803
669.5231	 64.2578
669.9890	 64.3395
670.4549	 64.4245
670.9208	 64.5118
671.3867	 64.6004
671.8526	 64.6895
672.3186	 64.7782
672.7845	 64.8657
673.2504	 64.9513
673.7163	 65.0345
674.1822	 65.1148
674.6481	 65.1919
675.1141	 65.2657
675.5800	 65.3359
676.0459	 65.4027
676.5118	 65.4662
676.9777	 65.5264
677.4437	 65.5837
677.9096	 65.6383
678.3755	 65.6906
678.8414	 65.7407
679.3073	 65.7891
679.7732	 65.8360
680.2392	 65.8817
680.7051	 65.9263
681.1710	 65.9701
681.6369	 66.0131
682.1028	 66.0553
682.5687	 66.0968
683.0347	 66.1374
683.5006	 66.1769
683.9665	 66.2152
684.4324	 66.2520
684.8983	 66.2869
685.3642	 66.3197
685.8302	 66.3501
686.2961	 66.3777
686.7620	 66.4022
687.2279	 66.4235
687.6938	 66.4413
688.1597	 66.4555
688.6257	 66.4661
689.0916	 66.4732
689.5575	 66.4767
690.0234	 66.4770
690.4893	 66.4744
690.9553	 66.4692
691.4212	 66.4619
691.8871	 66.4529
692.3530	 66.4429
692.8189	 66.4323
693.2848	 66.4217
693.7508	 66.4118
694.2167	 66.4030
694.6826	 66.3958
695.1485	 66.3908
695.6144	 66.3882
696.0803	 66.3884
696.5463	 66.3915
697.0122	 66.3978
697.4781	 66.4072
697.9440	 66.4196
698.4099	 66.4350
698.8758	 66.4530
699.3418	 66.4734
699.8077	 66.4958
700.2736	 66.5197
700.7395	 66.5446
701.2054	 66.5702
701.6713	 66.5959
702.1373	 66.6213
702.6032	 66.6458
703.0691	 66.6691
703.5350	 66.6908
704.0009	 66.7107
704.4669	 66.7284
704.9328	 66.7439
705.3987	 66.7570
705.8646	 66.7678
706.3305	 66.7763
706.7964	 66.7826
707.2624	 66.7870
707.7283	 66.7896
708.1942	 66.7907
708.6601	 66.7906
709.1260	 66.7897
709.5919	 66.7882
710.0579	 66.7865
710.5238	 66.7848
710.9897	 66.7834
711.4556	 66.7824
711.9215	 66.7820
712.3874	 66.7823
712.8534	 66.7833
713.3193	 66.7850
713.7852	 66.7873
714.2511	 66.7901
714.7170	 66.7931
